orig1+TLres50,trans1+TLvgg16+Adam,normf1+TLvgg16,mix+lr,mix+lgb,mix+svm,lr9,xgb,svm,knn,avg2,mini2,id
0.351993,0.013759,0.049543,0.999989,0.087196,0.724780,0.064140,0.061339,0.052039,0.152919,0.082609,0.077834,7df7f7ce
0.697640,0.735775,0.944229,1.000000,0.899756,0.976320,0.965992,0.986735,0.972049,0.999000,0.980944,0.989410,0bbf1a3f
0.922400,0.736711,0.698454,0.296852,0.915912,0.633586,0.885264,0.845381,0.958730,0.908779,0.899539,0.866103,636cfbb7
0.989152,0.997263,0.997347,0.998230,0.977174,0.999900,0.989792,0.989689,0.982561,0.999000,0.990260,0.992334,7370030a
0.000366,0.000163,0.001122,0.999807,0.005022,0.018175,0.014723,0.017790,0.009256,0.062089,0.025965,0.025477,43aa97ad
0.998819,0.998371,0.998150,0.997050,0.998010,0.985904,0.990164,0.994676,0.982588,0.999000,0.991607,0.996062,ba2b5e63
0.670224,0.291132,0.516443,1.000000,0.207759,0.479268,0.316496,0.540421,0.229869,0.426071,0.378214,0.498729,dfdd335b
0.093465,0.004256,0.007861,0.999680,0.104147,0.830380,0.055360,0.065240,0.052743,0.118959,0.073075,0.074477,e79b13dc
0.753390,0.498473,0.819923,1.000000,0.617703,0.732224,0.838081,0.766125,0.894981,0.972318,0.867876,0.814365,dc32b195
0.993036,0.990826,0.993092,0.953241,0.950394,0.962357,0.988025,0.993247,0.982718,0.999000,0.990748,0.995003,6d868590
0.568420,0.121646,0.053086,0.999994,0.852126,0.447978,0.269497,0.371683,0.221977,0.236641,0.274949,0.336870,75fa59aa
0.448874,0.103911,0.189921,1.000000,0.013542,0.020864,0.041948,0.024795,0.019857,0.074658,0.040315,0.033772,ffe50836
0.963453,0.987408,0.981056,0.992545,0.924924,0.977912,0.987257,0.992895,0.982629,0.981660,0.986110,0.991507,a7bfd784
0.046798,0.001965,0.001154,0.013999,0.015638,0.000817,0.006943,0.018627,0.009278,0.001000,0.008962,0.014736,b3d569e3
0.034907,0.080807,0.136999,0.209878,0.085515,0.218556,0.019863,0.022562,0.011400,0.059055,0.028220,0.028624,6c538c5b
0.005723,0.000302,0.001405,0.996695,0.018477,0.302122,0.021685,0.017792,0.011416,0.061402,0.028074,0.025498,5c7c15f4
0.077013,0.006634,0.009730,0.999906,0.800441,0.564410,0.146431,0.337064,0.098992,0.146021,0.182127,0.285755,0b745139
0.693183,0.402958,0.587045,0.999988,0.148839,0.994236,0.556004,0.698210,0.572720,0.680308,0.626811,0.687308,fd14608e
0.281730,0.078674,0.086024,0.000420,0.005361,0.316562,0.017982,0.006055,0.015902,0.015812,0.013938,0.008551,f0bc8305
0.999787,0.998617,0.996974,0.999051,0.998568,0.979196,0.990096,0.994482,0.982624,0.999000,0.991551,0.995920,a10ccb28
0.796755,0.495846,0.585708,0.997604,0.682373,0.707337,0.781320,0.812191,0.859328,0.913755,0.841649,0.835453,543304c7
0.000054,0.000001,0.000162,0.000000,0.000846,0.000632,0.006350,0.004900,0.009309,0.001000,0.005390,0.004482,6c3a4078
0.435777,0.613652,0.394253,0.999997,0.129482,0.000715,0.227660,0.317051,0.087153,0.286166,0.229508,0.296075,9b73cc75
0.033137,0.101505,0.142325,0.004911,0.088583,0.052020,0.014608,0.035228,0.010365,0.030502,0.022676,0.032703,5c6c71b1
0.459281,0.125979,0.095188,1.000000,0.630316,0.738161,0.254245,0.338027,0.200752,0.234035,0.256765,0.309792,09ee9186
0.609677,0.185686,0.104652,0.999339,0.409941,0.985340,0.287688,0.583030,0.304155,0.312852,0.371931,0.514560,207c35cf
0.001542,0.000165,0.000598,0.798368,0.007351,0.026261,0.012655,0.005950,0.009237,0.050643,0.019621,0.014500,153c813e
0.739031,0.712605,0.780934,1.000000,0.929239,0.728630,0.938296,0.953391,0.961456,0.999000,0.963036,0.963776,5605d58b
0.003924,0.004696,0.015469,0.001247,0.063937,0.003526,0.007617,0.022520,0.009346,0.020111,0.014898,0.021205,642ca396
0.483472,0.091462,0.200271,0.999167,0.705563,0.568428,0.273648,0.403026,0.198382,0.249836,0.281223,0.361134,d32d72c0
0.959092,0.950398,0.921024,0.986072,0.955469,0.846651,0.982239,0.980407,0.982168,0.999000,0.985954,0.985373,16646a17
0.380043,0.224044,0.207333,1.000000,0.019115,0.318044,0.078566,0.028967,0.027509,0.092937,0.056995,0.040813,384074af
0.672118,0.674608,0.682804,0.999533,0.924359,0.955312,0.933335,0.988202,0.955117,0.999000,0.968914,0.989352,69bf1e8c
0.502611,0.555261,0.790262,0.999998,0.466111,0.755415,0.770091,0.800926,0.774541,0.879645,0.806301,0.814908,9e90a054
0.985327,0.997419,0.995905,0.999238,0.996558,0.968432,0.989734,0.994503,0.982755,0.999000,0.991498,0.995944,89dbe7f7
0.625169,0.416202,0.312876,1.000000,0.473285,0.999900,0.569496,0.729136,0.596441,0.557121,0.613048,0.689107,dbd27d22
0.551559,0.316114,0.239711,0.999482,0.454807,0.993246,0.440659,0.190985,0.432348,0.406766,0.367689,0.247868,a2ea1561
0.454164,0.136092,0.074946,0.962446,0.084423,0.819970,0.104833,0.088225,0.092010,0.203103,0.122043,0.109986,d63402af
0.991395,0.986832,0.985696,0.991206,0.997242,0.963315,0.989166,0.994566,0.982818,0.999000,0.991387,0.995996,1ac8bb92
0.263155,0.036800,0.043853,0.999998,0.383021,0.983240,0.146393,0.486140,0.137529,0.223232,0.248324,0.414130,8beffca5
0.000642,0.003732,0.022501,0.381741,0.007295,0.163500,0.011373,0.005371,0.009628,0.037166,0.015885,0.011586,46741f3e
0.047361,0.005518,0.000935,0.985178,0.031025,0.256378,0.021758,0.067247,0.010689,0.052772,0.038116,0.060792,e5ee6aa7
0.922924,0.763785,0.424029,0.994195,0.906430,0.973911,0.924389,0.980753,0.945443,0.972817,0.955851,0.978254,5ecd892b
0.038070,0.015361,0.004162,0.000016,0.000301,0.000159,0.006865,0.005730,0.009274,0.001000,0.005717,0.005100,69892166
0.298365,0.035719,0.020375,0.171294,0.338869,0.089495,0.023998,0.025692,0.018007,0.001000,0.017174,0.020609,2f725a81
0.025278,0.000473,0.001780,0.532975,0.004797,0.271648,0.014206,0.005372,0.010870,0.030393,0.015210,0.010411,810abfe4
0.393982,0.241778,0.325259,0.999999,0.473185,0.994587,0.417457,0.772713,0.365726,0.361924,0.479455,0.669608,e6f973e6
0.453888,0.156651,0.022836,0.999995,0.572627,0.960505,0.270747,0.579426,0.258527,0.285810,0.348627,0.503723,c60a5c46
0.452931,0.332544,0.691478,0.044289,0.400479,0.206274,0.230814,0.301276,0.208761,0.258628,0.249870,0.287457,c42b9e08
0.025369,0.003591,0.003134,1.000000,0.042546,0.951095,0.053836,0.092325,0.071174,0.137326,0.088665,0.099387,c3f00c23
0.993806,0.980980,0.990057,0.997145,0.995516,0.989068,0.989497,0.994664,0.982686,0.999000,0.991462,0.996060,5307fdb8
0.002231,0.000962,0.001404,0.001414,0.007027,0.003317,0.006506,0.018105,0.009288,0.001000,0.008725,0.014346,3e4f005e
0.909691,0.908306,0.608970,0.949306,0.851074,0.980135,0.957422,0.989693,0.970171,0.989995,0.976820,0.989817,4a4cc2e0
0.000000,0.000000,0.000084,0.000000,0.000565,0.000100,0.006341,0.004900,0.009311,0.001000,0.005388,0.004482,9bdd88d1
0.013413,0.015256,0.049633,0.008229,0.009969,0.013959,0.007743,0.005909,0.009265,0.001000,0.005979,0.005233,0d832bed
0.296967,0.032055,0.020707,1.000000,0.275649,0.945235,0.112363,0.215720,0.109049,0.216002,0.163283,0.208803,14a134fa
0.038795,0.001647,0.004477,0.829824,0.052410,0.605862,0.031066,0.014504,0.024316,0.045545,0.028858,0.020970,78a41676
0.739971,0.120117,0.104739,0.999993,0.845250,0.981844,0.484845,0.505853,0.529500,0.482356,0.500638,0.503808,0bd4658e
0.663560,0.584959,0.950370,1.000000,0.725159,0.998544,0.931692,0.973942,0.948152,0.975217,0.957251,0.973797,4a311bb0
0.197088,0.473296,0.509184,0.986007,0.036875,0.458353,0.244319,0.212826,0.087814,0.263367,0.202081,0.214007,f939c817
0.953649,0.996609,0.997448,0.992713,0.999306,0.999900,0.989871,0.994672,0.982630,0.999000,0.991543,0.996062,956adc4d
0.623187,0.745971,0.686026,0.999997,0.982303,0.999900,0.950600,0.983894,0.958925,0.999000,0.973105,0.986393,f8a119f5
0.348231,0.161658,0.077167,0.999993,0.643965,0.737098,0.250234,0.409179,0.174730,0.250422,0.271141,0.364227,61faa1ad
0.183087,0.046237,0.018216,0.999971,0.057397,0.888936,0.065829,0.254270,0.066245,0.149146,0.133873,0.222245,6725eb3e
0.458665,0.038488,0.015957,1.000000,0.071009,0.996554,0.093449,0.117649,0.128101,0.208983,0.137046,0.135524,17b3a8fd
0.037741,0.000813,0.016487,0.997392,0.007756,0.191421,0.019608,0.019391,0.009857,0.062420,0.027819,0.026776,49a88dfc
0.675277,0.294915,0.371220,0.999986,0.793532,0.711829,0.607746,0.635541,0.642393,0.591272,0.619238,0.628668,2d6ec645
0.735825,0.727491,0.921434,0.999998,0.906942,0.725426,0.952804,0.961549,0.967046,0.999000,0.970100,0.970252,0d4d77ba
0.999762,0.998532,0.999149,0.999441,0.998624,0.999900,0.990401,0.994458,0.982478,0.999000,0.991584,0.995892,3ee672a2
0.675167,0.358090,0.359960,0.997922,0.160381,0.997478,0.409657,0.310930,0.423290,0.512541,0.414104,0.356549,738b41fd
0.541804,0.532389,0.757804,0.999994,0.886741,0.795944,0.884945,0.829105,0.910424,0.979801,0.901069,0.863865,f7fb320d
0.001534,0.000415,0.001531,0.026838,0.410571,0.000256,0.015083,0.014581,0.015668,0.018462,0.015949,0.015398,b42fad18
0.584376,0.397940,0.539029,0.999999,0.925316,0.995358,0.834144,0.949883,0.858978,0.919302,0.890577,0.939336,4ab8b00a
0.082963,0.037707,0.109570,0.029637,0.101311,0.246591,0.016335,0.025755,0.011637,0.022272,0.019000,0.024181,f7870f2b
0.727825,0.738069,0.938575,1.000000,0.982381,0.309920,0.934981,0.947204,0.914941,0.916173,0.928325,0.940568,4978666a
0.003127,0.001083,0.009524,0.001875,0.000785,0.000431,0.006522,0.005433,0.009294,0.001000,0.005562,0.004879,f1b0d6c7
0.003756,0.012190,0.027753,0.000140,0.265072,0.012069,0.012144,0.031845,0.011521,0.026502,0.020503,0.029510,5642407f
0.990120,0.981477,0.962002,0.979913,0.989387,0.978080,0.988370,0.984700,0.982818,0.974209,0.982524,0.984011,36d4ff92
0.475923,0.316244,0.069032,0.999923,0.913632,0.954023,0.554693,0.593073,0.519644,0.475291,0.535675,0.566986,4139aba2
0.630639,0.459125,0.815517,1.000000,0.856278,0.986497,0.904032,0.955572,0.927853,0.994427,0.945471,0.962263,7585ce58
0.998423,0.995136,0.939170,0.994469,0.998991,0.999374,0.988944,0.986945,0.982569,0.978132,0.984148,0.986401,33e25984
0.454825,0.078016,0.032546,0.276996,0.007660,0.294770,0.022499,0.006417,0.021993,0.024940,0.018962,0.010935,ac46f3c9
0.700175,0.706149,0.464913,0.412303,0.978291,0.783428,0.842960,0.785448,0.923555,0.883569,0.858883,0.814235,fc34a5b8
0.722045,0.580619,0.778297,1.000000,0.406634,0.975983,0.832684,0.966658,0.873707,0.937470,0.902630,0.956254,85c36a8f
0.641422,0.095703,0.223932,0.424732,0.179800,0.608894,0.093910,0.046428,0.107167,0.125098,0.093151,0.065275,b2d8a426
0.948675,0.793611,0.879864,0.485708,0.989298,0.550720,0.942870,0.889412,0.966621,0.886453,0.921339,0.895383,13ec60d1
0.213531,0.067719,0.301544,1.000000,0.521419,0.983929,0.293167,0.465995,0.228144,0.282270,0.317394,0.416245,9d440f42
0.581633,0.597501,0.737086,0.999805,0.926980,0.988427,0.925975,0.985465,0.942125,0.999000,0.963141,0.986421,1c0a891e
0.999371,0.998525,0.998293,0.999958,0.960731,0.999900,0.989605,0.991118,0.982474,0.999000,0.990549,0.993396,981c3bc3
0.314253,0.376367,0.352620,0.993183,0.311545,0.780960,0.348540,0.208374,0.213003,0.292857,0.265694,0.224706,295604f4
0.250225,0.019560,0.002529,1.000000,0.536503,0.996850,0.171347,0.472290,0.169681,0.228953,0.260568,0.407040,16ca16c3
0.445349,0.243362,0.335512,0.159015,0.025552,0.198407,0.052346,0.030616,0.035614,0.086755,0.051333,0.041447,b4dda837
0.002915,0.022239,0.097944,0.090861,0.045907,0.166412,0.012113,0.016029,0.009982,0.021847,0.014993,0.016722,88d088ef
0.430638,0.164056,0.163745,1.000000,0.024259,0.568073,0.088950,0.040384,0.048594,0.153342,0.082818,0.062021,1b4fa160
0.035135,0.004532,0.003447,0.999334,0.071818,0.185848,0.021721,0.066938,0.009941,0.060154,0.039689,0.061884,f371bd82
0.996923,0.986515,0.998522,0.996184,0.999392,0.998104,0.990041,0.994655,0.982552,0.999000,0.991562,0.996044,b130a0b7
0.415548,0.283807,0.421684,1.000000,0.823519,0.989156,0.670254,0.741207,0.650328,0.641178,0.675742,0.717443,ebf1de82
0.009060,0.008326,0.002839,0.024351,0.017979,0.828773,0.020694,0.005863,0.049302,0.016517,0.023094,0.010816,01e651c3
0.397162,0.137854,0.274292,1.000000,0.301322,0.831187,0.220662,0.389266,0.153767,0.236061,0.249939,0.345247,51b1fecc
0.019284,0.004602,0.001745,0.000001,0.003011,0.008249,0.006647,0.005894,0.009253,0.001000,0.005699,0.005221,fa635a31
0.412871,0.063916,0.005992,0.999734,0.093400,0.675383,0.065771,0.072203,0.051196,0.154452,0.085905,0.086178,97b7d789
0.199445,0.023641,0.020665,0.999810,0.880547,0.616748,0.204372,0.372477,0.153722,0.214601,0.236293,0.328707,2f598053
0.646241,0.328130,0.129827,0.999987,0.911482,0.952953,0.628621,0.795673,0.639913,0.595835,0.665011,0.748988,c0e3e148
0.373746,0.168113,0.151725,0.127105,0.483082,0.511484,0.098186,0.032312,0.081817,0.059089,0.067851,0.040716,cfa175a8
0.915022,0.947960,0.951477,0.941530,0.958823,0.816101,0.981376,0.979859,0.981721,0.999000,0.985489,0.984933,3d7e09d8
0.937893,0.918690,0.821855,0.983862,0.987888,0.925209,0.979526,0.991792,0.981377,0.999000,0.987924,0.993825,44a13d1b
0.579891,0.513517,0.382282,0.999995,0.783866,0.923490,0.764050,0.898929,0.799125,0.835874,0.824495,0.881660,c66b0948
0.026947,0.011974,0.018643,0.004015,0.004593,0.000238,0.007040,0.025654,0.009262,0.001000,0.010739,0.019985,976a6d64
0.740671,0.851357,0.963076,0.999999,0.737472,0.938970,0.965459,0.980975,0.972436,0.976873,0.973936,0.981016,8bbd8909
0.196049,0.038121,0.007811,0.998377,0.623293,0.981149,0.196302,0.508636,0.182571,0.238822,0.281583,0.436910,522890fd
0.708476,0.626994,0.754620,0.999933,0.906965,0.991143,0.938037,0.985661,0.958843,0.999000,0.970385,0.987707,f23a3b95
0.589825,0.217390,0.060210,0.999659,0.134072,0.983647,0.181000,0.165699,0.201592,0.245559,0.198462,0.183242,680039dc
0.182972,0.040294,0.065258,1.000000,0.584570,0.913887,0.189139,0.484648,0.153372,0.224672,0.262958,0.414364,93028e53
0.316387,0.045988,0.181848,0.999675,0.780347,0.586529,0.250522,0.425965,0.165782,0.243183,0.271363,0.374811,22a16932
0.025888,0.015267,0.032030,0.033324,0.006836,0.037445,0.007870,0.011279,0.009198,0.023158,0.012876,0.013364,7d8126d2
0.000110,0.000000,0.000065,0.000311,0.024286,0.001414,0.006670,0.005159,0.009299,0.001000,0.005532,0.004675,ba2ecd75
0.603501,0.342107,0.333255,0.999867,0.794534,0.999900,0.686733,0.848612,0.717368,0.660827,0.728385,0.805917,8071bdd7
0.000071,0.000078,0.000376,0.000215,0.001141,0.000128,0.006355,0.004900,0.009310,0.001000,0.005391,0.004482,96d5aeee
0.980289,0.957688,0.973575,0.849253,0.988473,0.941322,0.985876,0.993773,0.982945,0.999000,0.990398,0.995412,154be68f
0.986897,0.977482,0.992482,0.985469,0.995728,0.981887,0.989203,0.994668,0.982756,0.999000,0.991407,0.996068,d8c2bfe2
0.714720,0.084771,0.031096,1.000000,0.797613,0.999900,0.399965,0.604879,0.453294,0.438207,0.474086,0.564381,f76d47b0
0.038375,0.000439,0.009185,1.000000,0.026096,0.000100,0.015796,0.019302,0.009272,0.064234,0.027151,0.027007,0e781ade
0.000203,0.000001,0.000416,0.000002,0.004929,0.000455,0.006406,0.005411,0.009305,0.001000,0.005531,0.004863,13cf6060
0.406820,0.078210,0.012418,0.999987,0.907586,0.999900,0.375769,0.569293,0.370822,0.367353,0.420809,0.518984,cd99f710
0.000546,0.003013,0.001529,0.000104,0.003065,0.140324,0.007725,0.005380,0.009476,0.001000,0.005895,0.004852,d10005bb
0.997709,0.997085,0.997665,0.995504,0.998641,0.974970,0.989975,0.994674,0.982660,0.999000,0.991577,0.996065,3a31445f
0.181555,0.014075,0.001832,1.000000,0.620693,0.986251,0.183694,0.525655,0.176684,0.232736,0.279692,0.448092,3157202d
0.707996,0.477039,0.474377,1.000000,0.358522,0.048246,0.351178,0.381228,0.218207,0.488387,0.359750,0.390592,6ee64703
0.339029,0.174871,0.122235,0.435790,0.211799,0.389112,0.058865,0.031438,0.030037,0.023046,0.035847,0.029825,e5de8685
0.093127,0.026423,0.016947,0.681321,0.100349,0.942200,0.053405,0.020384,0.074280,0.082898,0.057742,0.035721,02cc70ba
0.573942,0.885538,0.906676,0.802836,0.915408,0.853844,0.962623,0.984774,0.967806,0.947571,0.965693,0.978085,50984a87
0.928623,0.974626,0.956856,0.963946,0.985795,0.994421,0.987376,0.968844,0.982760,0.999000,0.984495,0.976774,fa94957a
0.292944,0.289328,0.306201,0.012925,0.233649,0.246144,0.068849,0.062070,0.036916,0.085803,0.063410,0.064859,eab406b4
0.469115,0.634777,0.886711,0.541542,0.536952,0.323172,0.692088,0.766330,0.666013,0.707972,0.708101,0.749712,3ad39398
0.309735,0.061167,0.093879,0.987312,0.212704,0.970935,0.127071,0.109749,0.119720,0.206373,0.140728,0.128565,9ecf3802
0.001571,0.000872,0.005256,0.000411,0.028764,0.092297,0.007680,0.005145,0.009273,0.001000,0.005775,0.004662,6048ae7b
0.008945,0.001363,0.005387,0.000421,0.000456,0.000867,0.006493,0.004920,0.009287,0.001000,0.005425,0.004495,9dc68871
0.288653,0.464272,0.406731,0.206137,0.490968,0.352056,0.242959,0.265126,0.161551,0.315632,0.246317,0.267837,13701465
0.019970,0.000524,0.002857,0.998702,0.015790,0.020117,0.015390,0.017787,0.009221,0.063518,0.026479,0.025738,8d8779f3
0.360622,0.144447,0.174010,0.997567,0.867773,0.395177,0.289299,0.690251,0.180031,0.249949,0.352382,0.574498,0712f269
0.000038,0.000795,0.000257,0.000189,0.000988,0.000162,0.006363,0.004900,0.009309,0.001000,0.005393,0.004482,722c2597
0.598497,0.770978,0.932807,1.000000,0.820743,0.589391,0.934244,0.960088,0.941520,0.959162,0.948754,0.960006,478a2b08
0.448779,0.223732,0.199712,1.000000,0.873712,0.994872,0.555077,0.715622,0.526720,0.508949,0.576592,0.665292,38f5fb41
0.995638,0.997763,0.998604,0.999802,0.999154,0.997253,0.990317,0.994458,0.982526,0.999000,0.991575,0.995895,c52ad74d
0.000001,0.000001,0.000049,0.000027,0.006081,0.000316,0.006414,0.004910,0.009305,0.001000,0.005407,0.004489,0c85fd09
0.746143,0.784829,0.775395,0.770115,0.823980,0.792933,0.929548,0.832664,0.965129,0.933466,0.915202,0.861632,f1582cba
0.807147,0.926505,0.914154,0.962379,0.871983,0.964037,0.977238,0.988500,0.979981,0.999000,0.986180,0.991270,ff836697
0.008328,0.009516,0.005214,0.054436,0.005369,0.832432,0.020903,0.005841,0.049803,0.016335,0.023221,0.010800,ddfe4802
0.934238,0.931302,0.994786,0.963604,0.994769,0.937176,0.986380,0.994227,0.982816,0.999000,0.990606,0.995742,3cef3bc7
0.684153,0.295652,0.368381,0.999993,0.956581,0.097513,0.494622,0.540237,0.402309,0.530579,0.491937,0.529798,6a21542b
0.998451,0.996896,0.997419,0.998542,0.995258,0.999354,0.990234,0.994456,0.982511,0.999000,0.991550,0.995892,150e23c4
0.862240,0.943252,0.911929,0.937436,0.991030,0.996944,0.983973,0.991437,0.982005,0.999000,0.989104,0.993602,078c6d99
0.250528,0.003851,0.013807,1.000000,0.011555,0.738305,0.047159,0.018560,0.043662,0.117532,0.056728,0.038716,1dcd1dc3
0.632987,0.594846,0.872070,0.999985,0.961324,0.848567,0.939627,0.981818,0.954141,0.999000,0.968647,0.984516,39967e45
0.000236,0.000002,0.001974,0.304436,0.004652,0.000100,0.008172,0.005678,0.009304,0.001000,0.006039,0.005063,6b6333aa
0.196942,0.078777,0.018437,0.998954,0.072018,0.987826,0.083300,0.116439,0.092842,0.190150,0.120683,0.128711,4ae61433
0.025480,0.100472,0.117886,0.048702,0.007936,0.123183,0.013221,0.006337,0.010090,0.020765,0.012603,0.009287,f96362e0
0.082830,0.002455,0.022919,0.999337,0.129685,0.528160,0.040450,0.059285,0.020816,0.076044,0.049149,0.059864,97a88aac
0.301922,0.028367,0.045036,0.999994,0.937132,0.550795,0.236334,0.348381,0.183548,0.257400,0.256416,0.320703,427ae8ce
0.105679,0.050262,0.329160,0.003525,0.065821,0.124294,0.021462,0.051797,0.014240,0.001000,0.022125,0.039856,209d4b15
0.008463,0.000004,0.000384,0.000000,0.006664,0.006674,0.006527,0.004897,0.009271,0.001000,0.005424,0.004477,64b453bd
0.662079,0.441098,0.760328,1.000000,0.941498,0.882095,0.896032,0.937339,0.924804,0.999000,0.939294,0.949283,0f5a484e
0.683040,0.795844,0.727529,0.765370,0.988959,0.826127,0.944174,0.987129,0.965948,0.984927,0.970544,0.986670,5ac74969
0.580369,0.376089,0.155105,0.999365,0.345805,0.994671,0.384346,0.167416,0.376280,0.344752,0.318198,0.214896,736ed43e
0.440047,0.125446,0.282799,1.000000,0.031722,0.947980,0.163677,0.200804,0.151919,0.247212,0.190903,0.206390,8533795f
