orig1+TLres50,trans1+TLvgg16+Adam,normf1+TLvgg16,mix+lr,mix+lgb,mix+svm,is_iceberg,lr9,xgb,svm,knn,avg2,mini2,id
0.994869,0.992767,0.994753,0.999300,0.999200,0.999900,1,0.990373,0.998059,0.983465,0.999000,0.992724,0.998649,0a192892
0.000002,0.000364,0.000167,0.030228,0.007040,0.017697,0,0.007101,0.006825,0.010127,0.001000,0.006263,0.005976,f6a75c6b
0.804902,0.884944,0.772532,0.590950,0.923842,0.943232,1,0.957600,0.942829,0.978388,0.864509,0.935832,0.932011,4cfca6da
0.955896,0.978918,0.973299,0.986645,0.997835,0.941688,1,0.987954,0.991823,0.982627,0.999000,0.990351,0.993933,a65b9aff
0.999750,0.997834,0.999755,0.999372,0.997139,0.995077,1,0.988951,0.993122,0.980637,0.999000,0.990428,0.994768,af91525e
0.000532,0.000029,0.000025,0.000000,0.002844,0.001170,0,0.006465,0.006200,0.008984,0.001000,0.005662,0.005431,4be9117c
0.001016,0.001171,0.000298,0.000590,0.000314,0.016956,0,0.006575,0.006200,0.008941,0.001000,0.005679,0.005428,3d24353c
0.020566,0.042609,0.016304,0.022481,0.002825,0.012030,0,0.007842,0.006282,0.008946,0.033506,0.014144,0.011539,66d17828
0.000000,0.000000,0.000047,0.000000,0.000070,0.000100,0,0.006115,0.006383,0.009266,0.001000,0.005691,0.005587,b78438be
0.000000,0.003276,0.000164,0.007908,0.000570,0.018250,0,0.006316,0.009927,0.009211,0.001000,0.006614,0.008231,91febbeb
0.994251,0.998309,0.990256,0.978214,0.989595,0.996830,1,0.990954,0.995597,0.983440,0.999000,0.992248,0.996808,ade9a4ab
0.999745,1.000000,0.999953,0.999984,0.999538,0.999900,1,0.990671,0.993125,0.982940,0.999000,0.991434,0.994927,b7e6b182
0.523133,0.305092,0.427491,0.688460,0.665778,0.662736,0,0.451111,0.721602,0.460749,0.545938,0.544850,0.672145,2e5ba8a2
0.979348,0.984724,0.996617,0.969169,0.997301,0.991282,1,0.989754,0.998581,0.983595,0.999000,0.992733,0.999048,2336fe9c
0.998524,0.999819,0.998533,0.877597,0.983687,0.956306,1,0.988749,0.992008,0.983150,0.999000,0.990727,0.994107,f6c43c24
0.986545,0.943155,0.978695,0.936975,0.998558,0.981492,1,0.987800,0.993125,0.983187,0.999000,0.990778,0.994944,c49bd5f2
0.250884,0.018855,0.052047,0.010119,0.009851,0.016098,0,0.011136,0.007347,0.010669,0.041731,0.017721,0.013982,a87234b9
0.985801,0.986230,0.974231,0.870468,0.844611,0.862363,1,0.979317,0.982738,0.979174,0.999000,0.985057,0.986910,6c905a48
0.962820,0.939011,0.794108,0.909476,0.974238,0.841195,1,0.976019,0.983648,0.978313,0.932085,0.967516,0.975079,a2a728d6
0.466944,0.080776,0.245404,0.629264,0.375370,0.049024,0,0.086306,0.042488,0.037550,0.083084,0.062357,0.049766,28de1d17
0.011414,0.011251,0.033146,0.031118,0.003281,0.004513,0,0.007136,0.014144,0.009221,0.001000,0.007875,0.011382,bee2de18
0.429381,0.292503,0.021980,0.331882,0.679790,0.235793,0,0.163915,0.023483,0.095685,0.130488,0.103393,0.048352,379e9548
0.946242,0.951250,0.932471,0.642172,0.981185,0.935939,1,0.980580,0.980142,0.981096,0.953390,0.973802,0.976614,2d8ace41
0.000076,0.000006,0.000075,0.000458,0.004937,0.002711,0,0.006753,0.006825,0.010170,0.001000,0.006187,0.005979,3a75d8bc
0.338512,0.590481,0.454658,0.679037,0.689164,0.246896,1,0.455038,0.646260,0.310270,0.565795,0.494341,0.609288,08fb43c6
0.786328,0.917718,0.935495,0.965302,0.964615,0.946815,1,0.976113,0.984401,0.978693,0.999000,0.984552,0.988120,4d57fe03
0.000000,0.000013,0.000185,0.000000,0.000315,0.000100,0,0.006418,0.006200,0.008990,0.001000,0.005652,0.005431,7e02f2d0
0.293097,0.006813,0.059338,0.469701,0.064439,0.072269,0,0.013076,0.010552,0.008423,0.001000,0.008263,0.008644,2951d5a2
0.004369,0.000111,0.012222,0.000561,0.001328,0.000385,0,0.004499,0.004618,0.006216,0.001000,0.004083,0.004060,67cdcd2f
0.322726,0.188856,0.245679,0.338290,0.449594,0.530952,0,0.122135,0.234115,0.085286,0.093345,0.133720,0.198101,2f23d622
0.983126,0.974688,0.976157,0.807830,0.981792,0.720006,1,0.981695,0.981913,0.980950,0.999000,0.985889,0.986415,1d500cdf
0.257403,0.064057,0.072478,0.489256,0.552255,0.644430,0,0.098135,0.020676,0.082852,0.053019,0.063670,0.030964,9f84a328
0.999909,0.998342,0.999658,0.994118,0.999726,0.999900,1,0.989063,0.992822,0.980589,0.999000,0.990368,0.994541,79a6f286
0.999084,0.999838,0.998326,0.999216,0.999138,0.996886,1,0.991546,0.995041,0.983352,0.999000,0.992235,0.996387,8416c38c
0.999911,0.999981,0.998807,0.998241,0.998954,0.997418,1,0.990587,0.993125,0.982962,0.999000,0.991419,0.994929,f2bdb041
0.148928,0.115477,0.029032,0.147015,0.519869,0.268743,0,0.050474,0.038844,0.029258,0.001000,0.029894,0.031203,3ab15430
0.352372,0.022101,0.211186,0.160583,0.069247,0.219251,0,0.022629,0.029332,0.017825,0.032429,0.025554,0.029165,d8b894c2
0.992292,0.985364,0.998158,0.991554,0.998805,0.987875,1,0.988320,0.993122,0.980789,0.999000,0.990308,0.994778,29795667
0.994440,0.992698,0.996095,0.988952,0.999353,0.942327,1,0.989604,0.998519,0.983699,0.999000,0.992706,0.999009,cb639848
0.997494,0.997395,0.999638,0.997609,0.998268,0.999900,1,0.988977,0.993122,0.980612,0.999000,0.990428,0.994766,b8e965d2
0.294312,0.599969,0.814481,0.037950,0.288296,0.180263,0,0.328032,0.178576,0.266739,0.212221,0.246392,0.191101,ebff4efc
0.996668,0.992822,0.999605,0.996365,0.999482,0.984549,1,0.988653,0.992822,0.980751,0.999000,0.990307,0.994552,50853a36
0.996591,0.999921,0.999136,0.948255,0.999126,0.995199,1,0.990238,0.993125,0.982992,0.999000,0.991339,0.994931,8e0f4515
0.000657,0.002269,0.013532,0.001445,0.002286,0.000910,0,0.006939,0.006825,0.010158,0.001000,0.006230,0.005978,ba84b60e
0.000031,0.000011,0.000112,0.000000,0.000247,0.000100,0,0.006416,0.006200,0.008991,0.001000,0.005652,0.005431,0717d705
0.849634,0.877875,0.882706,0.582467,0.992655,0.851361,1,0.969226,0.964141,0.981307,0.902521,0.954299,0.955207,0334eec4
0.830707,0.621084,0.692770,0.516727,0.849466,0.615209,1,0.840522,0.641626,0.933979,0.970302,0.846607,0.723632,9fde51a8
0.926370,0.958754,0.993847,0.734042,0.937304,0.891964,1,0.980584,0.984769,0.982154,0.999000,0.986627,0.988631,7ea9222e
0.986738,0.999786,0.999923,0.999680,0.998860,0.999900,1,0.990566,0.993125,0.983003,0.999000,0.991424,0.994932,dac5bd92
0.999495,0.997969,0.999479,0.997972,0.997757,0.999900,1,0.990570,0.993125,0.982955,0.999000,0.991413,0.994928,6d7beb67
0.998450,0.996042,0.998152,0.984231,0.999220,0.991291,1,0.990289,0.993125,0.983024,0.999000,0.991360,0.994933,de0a13aa
0.006564,0.000000,0.000012,0.013156,0.002748,0.102497,0,0.008133,0.006825,0.010185,0.001000,0.006536,0.005980,65979231
0.628523,0.721401,0.883169,0.929336,0.978646,0.788672,1,0.958368,0.971556,0.965206,0.999000,0.973533,0.977603,6071a6f2
0.000000,0.000000,0.000252,0.000022,0.000233,0.000100,0,0.006663,0.006825,0.010183,0.001000,0.006168,0.005980,32580a22
0.912298,0.877210,0.814864,0.628912,0.934474,0.814938,1,0.961255,0.975109,0.979142,0.915458,0.957741,0.965661,0b87e9b9
0.949138,0.876470,0.909006,0.816204,0.964671,0.796157,1,0.972850,0.910914,0.980849,0.999000,0.965903,0.933362,f0ef5d45
0.672140,0.526667,0.112964,0.130852,0.059810,0.248870,0,0.088811,0.160842,0.099576,0.093918,0.110787,0.144438,c6ffd9f1
0.000000,0.000000,0.000042,0.000000,0.004461,0.000100,0,0.008220,0.001212,0.011887,0.001000,0.005580,0.001902,4fd7600f
0.009854,0.029538,0.040457,0.000270,0.019584,0.000766,0,0.007582,0.014582,0.009253,0.001000,0.008104,0.011712,dee16fa7
0.616421,0.592385,0.794065,0.069655,0.032795,0.299797,0,0.271460,0.439239,0.335416,0.272122,0.329559,0.401681,1a58d98b
0.967690,0.992737,0.997123,0.966723,0.971539,0.994925,1,0.990337,0.992753,0.983559,0.999000,0.991412,0.994692,23f30ff1
0.999746,0.998785,0.999909,0.997272,0.999293,0.999900,1,0.989083,0.992822,0.980587,0.999000,0.990373,0.994540,291c8713
0.980381,0.987298,0.982788,0.650747,0.954927,0.894611,1,0.983335,0.978841,0.983682,0.956967,0.975706,0.976484,3e21b615
0.995087,0.997147,0.984139,0.910521,0.998319,0.987767,1,0.990166,0.995663,0.983509,0.999000,0.992084,0.996862,8a1c5528
0.000000,0.000000,0.000014,0.000423,0.001876,0.008135,0,0.006778,0.006825,0.010156,0.001000,0.006190,0.005978,66348d03
0.000334,0.000749,0.000401,0.000025,0.000599,0.000100,0,0.006141,0.006383,0.009264,0.001000,0.005697,0.005587,f9209504
0.984298,0.943416,0.993835,0.969407,0.965036,0.989902,1,0.985538,0.991834,0.980814,0.970667,0.982213,0.988545,68a80de0
0.006637,0.010078,0.004372,0.133631,0.058041,0.093870,0,0.009909,0.019814,0.010213,0.021328,0.015316,0.019469,13b318de
0.999267,0.995893,0.997424,0.999865,0.998648,0.999900,1,0.990050,0.992942,0.982130,0.999000,0.991031,0.994735,c9124fed
0.000001,0.000002,0.000033,0.000000,0.000047,0.000100,0,0.006412,0.006200,0.008991,0.001000,0.005651,0.005431,6f17c8e6
0.994053,0.999635,0.998166,0.999579,0.999718,0.999900,1,0.991558,0.995041,0.983357,0.999000,0.992239,0.996387,d92ff35c
0.073751,0.016227,0.036409,0.001258,0.236455,0.032371,0,0.008697,0.018580,0.007567,0.021414,0.014065,0.018383,0113e164
0.999316,0.997110,0.998995,0.998229,0.999248,0.999900,1,0.990587,0.997535,0.983415,0.999000,0.992634,0.998255,a9bed487
0.995267,0.997553,0.999580,0.958428,0.998972,0.994410,1,0.990226,0.993125,0.983010,0.999000,0.991340,0.994932,456d6182
0.000000,0.000000,0.000088,0.000000,0.000338,0.000100,0,0.006120,0.006383,0.009266,0.001000,0.005692,0.005587,99d068d8
0.890928,0.915873,0.986097,0.782484,0.961773,0.874206,1,0.977438,0.982914,0.980208,0.974335,0.978724,0.982522,2b88818c
0.000052,0.000001,0.000597,0.000227,0.014491,0.016199,0,0.004574,0.004002,0.006187,0.001000,0.003941,0.003598,a4067cf5
0.000006,0.000001,0.001121,0.000050,0.003677,0.000100,0,0.006719,0.006825,0.010178,0.001000,0.006181,0.005979,4184f356
0.301254,0.010228,0.086527,0.337637,0.432772,0.386369,0,0.040036,0.018455,0.026591,0.001000,0.021521,0.015788,35053475
0.131491,0.299105,0.198657,0.781675,0.585091,0.509007,0,0.248781,0.124559,0.113894,0.185438,0.168168,0.135337,ae99ad14
0.019391,0.009860,0.042075,0.051370,0.046616,0.031792,0,0.009020,0.044092,0.010107,0.056516,0.029934,0.044149,4cb68941
0.323090,0.367855,0.087055,0.036016,0.047895,0.023390,0,0.037030,0.137720,0.020058,0.023054,0.054466,0.108553,5d9fd419
0.982937,0.990254,0.972779,0.919971,0.984762,0.871401,1,0.987425,0.985066,0.983586,0.999000,0.988769,0.988950,e4c50fc5
0.999841,0.999962,0.999753,0.999832,0.999830,0.999900,1,0.990671,0.991413,0.982940,0.999000,0.991006,0.993648,9d2c5335
0.191164,0.060653,0.057335,0.151202,0.005823,0.009562,0,0.012037,0.024812,0.009983,0.048102,0.023733,0.028170,7cc795e7
0.860935,0.966550,0.972195,0.891770,0.993020,0.584765,1,0.978377,0.996324,0.974679,0.972475,0.980464,0.991818,1dc1c160
0.481047,0.604636,0.453701,0.176907,0.651843,0.719904,1,0.521954,0.601301,0.696834,0.629275,0.612341,0.613871,794293b5
0.982376,0.945508,0.943662,0.650724,0.880496,0.526950,1,0.963504,0.875431,0.970547,0.850791,0.915068,0.878569,78d8045d
0.915252,0.709963,0.750206,0.860586,0.517926,0.869936,1,0.892034,0.961310,0.939396,0.893388,0.921532,0.948535,aca0ccb4
0.769790,0.861755,0.432652,0.938409,0.996501,0.951146,1,0.934605,0.993594,0.950695,0.976206,0.963775,0.988837,bb4a94cd
0.106257,0.005501,0.108175,0.057651,0.026215,0.002588,0,0.009724,0.008641,0.009703,0.048604,0.019168,0.016162,551856d8
0.127994,0.041719,0.003310,0.418842,0.248243,0.210564,0,0.022939,0.023901,0.012614,0.027372,0.021707,0.023811,119f046b
0.637675,0.816492,0.538848,0.476517,0.913056,0.506333,1,0.806804,0.910683,0.891819,0.876443,0.871437,0.904312,5316efdf
0.583559,0.436296,0.359987,0.109664,0.019172,0.625143,0,0.126875,0.116552,0.155840,0.138244,0.134378,0.123432,97e2d963
0.998442,0.980736,0.998363,0.989913,0.999917,0.996067,1,0.990102,0.998491,0.983487,0.999000,0.992770,0.998974,0c2cf1d0
0.993156,0.993520,0.999852,0.870591,0.999228,0.977726,1,0.987865,0.992822,0.980807,0.999000,0.990124,0.994555,ca3a6c6e
0.997833,0.989874,0.997774,0.984856,0.999574,0.988870,1,0.990156,0.998519,0.983522,0.999000,0.992799,0.998997,1123c599
0.970396,0.940725,0.954474,0.952719,0.947403,0.975910,1,0.986723,0.947140,0.983684,0.943567,0.965278,0.950306,fb19a44c
0.986823,0.932832,0.967191,0.920965,0.967778,0.891484,1,0.983919,0.993125,0.983009,0.999000,0.989763,0.994932,e8f01e7e
0.986793,0.964647,0.990202,0.992672,0.998840,0.990778,1,0.989376,0.996127,0.983604,0.973764,0.985718,0.992519,6706ea46
0.146128,0.059520,0.018829,0.084763,0.039549,0.130100,0,0.012729,0.034089,0.011014,0.031698,0.022382,0.032119,9bccbe2e
0.480578,0.458607,0.597717,0.217945,0.111531,0.043169,0,0.184386,0.207785,0.128575,0.215295,0.184010,0.204075,d6913851
0.998311,0.998374,0.995631,0.994684,0.943688,0.999900,1,0.990482,0.992753,0.983311,0.999000,0.991387,0.994675,51e96360
0.360783,0.013652,0.007084,0.013088,0.001055,0.065285,0,0.006725,0.003972,0.009424,0.001000,0.005280,0.003796,e77f7e17
0.868209,0.892052,0.761997,0.922337,0.924765,0.861874,1,0.966992,0.985551,0.978769,0.969543,0.975214,0.983502,d588cd39
0.999667,0.994819,0.998075,0.998981,0.901933,0.999900,1,0.988589,0.994472,0.983142,0.999000,0.991301,0.995947,28758181
0.000379,0.000203,0.000444,0.000060,0.000155,0.000101,0,0.006425,0.006200,0.008989,0.001000,0.005654,0.005431,89842932
0.000000,0.000001,0.000009,0.000355,0.000460,0.000100,0,0.006123,0.006383,0.009266,0.001000,0.005693,0.005587,ab1ece17
0.994453,0.998214,0.999055,0.939701,0.995520,0.947565,1,0.989184,0.993125,0.983174,0.999000,0.991121,0.994943,83b74cae
0.000604,0.000225,0.000446,0.000990,0.000642,0.000253,0,0.006438,0.006200,0.008988,0.001000,0.005657,0.005431,f76458ab
0.996866,0.999968,0.998504,0.990459,0.998377,0.929627,1,0.989290,0.991210,0.983147,0.999000,0.990662,0.993511,d33e98bb
0.994409,0.993259,0.987407,0.999368,0.999948,0.996607,1,0.990178,0.998059,0.983508,0.999000,0.992686,0.998652,7f3356fa
0.995927,0.999996,0.999387,0.999337,0.997822,0.999900,1,0.990601,0.993125,0.982966,0.999000,0.991423,0.994929,78ec206c
0.290433,0.079981,0.004716,0.030618,0.063984,0.028740,0,0.015008,0.024887,0.011768,0.043178,0.023710,0.027431,7d3213df
0.760259,0.935138,0.974278,0.807915,0.973250,0.810688,1,0.977421,0.987795,0.979205,0.935309,0.969932,0.978838,c7d45cb0
0.994689,0.994009,0.999026,0.985987,0.995705,0.995451,1,0.988640,0.993122,0.980688,0.999000,0.990362,0.994771,bacaacf9
0.152897,0.000221,0.006007,0.038863,0.081799,0.003154,0,0.006064,0.021482,0.006739,0.025028,0.014828,0.021167,15b788fb
0.000919,0.000002,0.000004,0.000161,0.001420,0.025820,0,0.006631,0.006200,0.008924,0.001000,0.005689,0.005427,b8e18fbb
0.998616,0.999267,0.995559,0.999128,0.986613,0.999900,1,0.991302,0.995041,0.983369,0.999000,0.992178,0.996388,258ae38c
0.091716,0.029899,0.072449,0.038990,0.000948,0.022703,0,0.009300,0.007347,0.009129,0.050469,0.019061,0.015504,2d8a438e
0.000188,0.000492,0.008069,0.005745,0.000646,0.012769,0,0.008508,0.001198,0.011838,0.001000,0.005636,0.001888,2d29483b
0.000919,0.007798,0.001198,0.003322,0.000523,0.009264,0,0.006656,0.006200,0.008956,0.001000,0.005703,0.005429,87a72548
0.824161,0.645195,0.975955,0.898422,0.996315,0.809218,1,0.960524,0.984302,0.971652,0.999000,0.978870,0.987566,b6cfe64f
0.313532,0.134005,0.182501,0.370725,0.067608,0.369038,0,0.050273,0.062281,0.028869,0.062683,0.051027,0.060165,133f346d
0.931488,0.963619,0.987554,0.623008,0.991106,0.821642,1,0.981230,0.992868,0.983013,0.926260,0.970843,0.981204,0d3ec646
0.992831,0.964832,0.971465,0.998016,0.984880,0.991665,0,0.988656,0.993125,0.983176,0.999000,0.990989,0.994943,2f881d78
0.045391,0.006289,0.022556,0.112340,0.009447,0.023660,0,0.005710,0.006428,0.006183,0.024477,0.010700,0.009779,57a7eee8
0.999908,0.994859,0.998209,0.997931,0.998363,0.999900,1,0.990505,0.998501,0.983425,0.999000,0.992858,0.998977,bab1926a
0.011315,0.000029,0.001959,0.000025,0.001078,0.001063,0,0.004407,0.004002,0.006211,0.001000,0.003905,0.003600,20e4176e
0.828969,0.744938,0.910503,0.538888,0.972816,0.749795,1,0.952345,0.838344,0.975353,0.900292,0.916583,0.860399,35ac7dc2
0.498915,0.326428,0.037288,0.268512,0.303892,0.699696,0,0.149653,0.089298,0.126929,0.139538,0.126355,0.101339,66dbf620
0.835055,0.554962,0.927015,0.585328,0.142446,0.319523,1,0.543980,0.671125,0.575434,0.532149,0.580672,0.639686,5196228c
0.023244,0.016023,0.023298,0.133911,0.001411,0.028764,0,0.010545,0.001659,0.011764,0.020521,0.011122,0.005860,d6566373
0.997983,0.999424,0.997440,0.961350,0.991610,0.953811,1,0.990444,0.995663,0.983610,0.999000,0.992179,0.996869,27ac12ee
0.972501,0.976883,0.886421,0.790420,0.964854,0.965820,1,0.983305,0.988000,0.983413,0.999000,0.988429,0.991130,0c33ca9e
0.000000,0.000000,0.000023,0.000031,0.000435,0.000608,0,0.008161,0.001212,0.011890,0.001000,0.005566,0.001902,2ed64fa3
0.922397,0.953072,0.956784,0.860619,0.952850,0.950467,1,0.982772,0.972144,0.982403,0.999000,0.984080,0.979215,d75f4b30
0.987733,0.970694,0.984915,0.992113,0.999477,0.991758,1,0.988890,0.992942,0.982355,0.972675,0.984215,0.989852,d3031eaf
0.000000,0.000000,0.000002,0.001476,0.014992,0.041754,0,0.006950,0.006200,0.008899,0.001000,0.005762,0.005425,b0db8992
0.997957,0.999619,0.998294,0.967431,0.996180,0.958144,1,0.990673,0.995663,0.983584,0.999000,0.992230,0.996867,5ff4495d
0.000047,0.000000,0.000001,0.000003,0.000183,0.000100,0,0.006659,0.006825,0.010184,0.001000,0.006167,0.005980,9847a428
0.983500,0.998841,0.992879,0.992467,0.929979,0.856293,1,0.987628,0.992418,0.983212,0.999000,0.990565,0.994418,51e9dd28
0.155006,0.049144,0.122662,0.953943,0.229853,0.171287,1,0.039483,0.085632,0.009367,0.043502,0.044496,0.072712,a9ab128c
0.009954,0.000096,0.000207,0.000992,0.004399,0.002107,0,0.006594,0.006200,0.008965,0.001000,0.005690,0.005430,5a962d7c
0.003460,0.000013,0.001759,0.001945,0.002296,0.000109,0,0.006735,0.006825,0.010171,0.001000,0.006183,0.005979,ed7569f9
0.000005,0.000000,0.000243,0.000004,0.001242,0.000159,0,0.008174,0.001212,0.011891,0.001000,0.005569,0.001902,691efc6d
0.518858,0.353637,0.742633,0.078120,0.011344,0.040480,0,0.104371,0.113829,0.101260,0.177953,0.124353,0.125066,3c546105
0.998618,0.999208,0.998205,0.998337,0.999402,0.999900,1,0.991563,0.994290,0.983333,0.999000,0.992047,0.995824,434c4170
0.010001,0.001068,0.032272,0.015204,0.002352,0.018834,0,0.004982,0.004824,0.006190,0.001000,0.004249,0.004212,ae882030
0.000000,0.000000,0.000013,0.000004,0.000136,0.000556,0,0.006664,0.006825,0.010182,0.001000,0.006168,0.005980,c7994ee4
0.000019,0.003045,0.000139,0.000004,0.000131,0.000100,0,0.006468,0.006200,0.008989,0.001000,0.005664,0.005431,c22499f6
0.056197,0.050243,0.009000,0.294200,0.190603,0.101980,0,0.016423,0.032384,0.011536,0.048256,0.027150,0.033962,7ce7d67d
0.075348,0.048181,0.111536,0.133802,0.008738,0.050368,0,0.012113,0.008559,0.010504,0.024350,0.013882,0.011642,7f13d74d
0.034460,0.034305,0.002036,0.000018,0.003536,0.001463,0,0.007513,0.016544,0.008971,0.001000,0.008507,0.013158,c1b8144e
0.000000,0.000000,0.000152,0.000000,0.000205,0.000100,0,0.006119,0.006383,0.009266,0.001000,0.005692,0.005587,c84a92a0
0.000002,0.000001,0.000212,0.000017,0.000674,0.000100,0,0.008164,0.001212,0.011892,0.001000,0.005567,0.001903,ba2b4c39
0.994114,0.996139,0.995478,0.971362,0.998617,0.980270,1,0.989986,0.998519,0.983580,0.999000,0.992771,0.999001,4b58ca02
0.716213,0.914339,0.923167,0.970582,0.860236,0.883517,1,0.972229,0.983919,0.975776,0.999000,0.982731,0.987561,3477579e
0.000000,0.000000,0.003694,0.000000,0.001444,0.000100,0,0.006185,0.006383,0.009261,0.001000,0.005707,0.005587,26f7b798
0.999017,0.999594,0.994814,0.998232,0.998675,0.986538,1,0.991315,0.995116,0.983446,0.999000,0.992219,0.996449,ea2440a6
0.023388,0.000732,0.001850,0.000003,0.000632,0.000100,0,0.004443,0.005990,0.006210,0.001000,0.004411,0.005085,78ce5f90
0.452325,0.507431,0.568273,0.114711,0.130771,0.157542,0,0.139334,0.139775,0.103417,0.196634,0.144790,0.148074,dbd93310
0.119601,0.596353,0.817323,0.456248,0.709919,0.686301,0,0.791361,0.641346,0.706819,0.807266,0.736698,0.677593,1c536d78
0.056303,0.228122,0.035849,0.146633,0.006928,0.001482,0,0.014881,0.007460,0.010646,0.026732,0.014930,0.011274,bdc40587
0.000432,0.002231,0.002018,0.037821,0.022097,0.053181,0,0.007888,0.006825,0.010087,0.001000,0.006450,0.005973,aa4d8381
0.999879,0.997575,0.997084,0.999852,0.979594,0.999900,1,0.989639,0.989874,0.982121,0.999000,0.990158,0.992442,c56b4f9f
